SUID,@id,Betweenness,Closeness,Degree,Eigenvector,Information,LAC,name,Network,selected,shared name,stringdb::canonical name,stringdb::full name,Subgragh,
412,stringdb:9606.ENSP00000262340,70.2372446,0.059554706,5,0.001006778,3.711926937,0.8,9606.ENSP00000262340,1,FALSE,9606.ENSP00000262340,Q16518,,3.33E+23,0.240585049
205,stringdb:9606.ENSP00000256797,0.791874471,0.059873661,3,0.002740404,2.838053942,0.666666667,9606.ENSP00000256797,1,FALSE,9606.ENSP00000256797,Q76MJ5,,2.47E+24,0.240538536
186,stringdb:9606.ENSP00000332407,11.38007781,0.059522184,6,8.52E-04,4.069982529,3,9606.ENSP00000332407,3.6,FALSE,9606.ENSP00000332407,Q8WUS8,,2.39E+23,0.240313937
225,stringdb:9606.ENSP00000215812,842,0.056756053,2,2.86E-05,2.297236443,0,9606.ENSP00000215812,0,FALSE,9606.ENSP00000215812,Q9UDX4,,2.69E+20,0.239721097
265,stringdb:9606.ENSP00000222382,2.134902226,0.05951406,5,0.001179195,3.711926937,2.4,9606.ENSP00000222382,3,FALSE,9606.ENSP00000222382,Q9HB55,,4.57E+23,0.239341653
406,stringdb:9606.ENSP00000272252,8.158326345,0.059587263,4,0.001287307,3.304881573,0.5,9606.ENSP00000272252,0.666666667,FALSE,9606.ENSP00000272252,Q96C23,,5.45E+23,0.238661188
337,stringdb:9606.ENSP00000262291,0.698947702,0.05957912,3,0.002165995,2.838053942,0.666666667,9606.ENSP00000262291,1,FALSE,9606.ENSP00000262291,Q96GC9,,1.54E+24,0.238540763
316,stringdb:9606.ENSP00000262283,5.362790967,0.059873661,2,0.001976631,2.297236443,0,9606.ENSP00000262283,0,FALSE,9606.ENSP00000262283,Q02509,,1.28E+24,0.238253138
481,stringdb:9606.ENSP00000254627,5.362790967,0.059873661,2,0.001976631,2.297236443,0,9606.ENSP00000254627,0,FALSE,9606.ENSP00000254627,Q02509,,1.28E+24,0.238253138
182,stringdb:9606.ENSP00000222572,3.048866609,0.059603554,3,0.001478897,2.838053942,0.666666667,9606.ENSP00000222572,1,FALSE,9606.ENSP00000222572,Q86YL0,,7.19E+23,0.237663997
245,stringdb:9606.ENSP00000355968,7.590849242,0.059587263,3,9.51E-04,2.838053942,0,9606.ENSP00000355968,0,FALSE,9606.ENSP00000355968,Q9Y6M5,,2.97E+23,0.236907643
244,stringdb:9606.ENSP00000359022,11.55981627,0.059546572,3,9.38E-04,2.838053942,0.666666667,9606.ENSP00000359022,1,FALSE,9606.ENSP00000359022,Q9HB03,,2.89E+23,0.236808222
116,stringdb:9606.ENSP00000259254,0,0.059832579,1,0.00196874,1.663313389,0,9606.ENSP00000259254,0,FALSE,9606.ENSP00000259254,P04921,,1.27E+24,0.236732389
135,stringdb:9606.ENSP00000316786,15.60716984,0.059400545,3,8.92E-04,2.838053703,0,9606.ENSP00000316786,0,FALSE,9606.ENSP00000316786,Q9UC51,,2.62E+23,0.236252953
367,stringdb:9606.ENSP00000320239,0.133333333,0.059376277,2,0.001992495,2.297236443,0,9606.ENSP00000320239,0,FALSE,9606.ENSP00000320239,Q96QT4,,1.31E+24,0.236240326
290,stringdb:9606.ENSP00000352540,29.27856136,0.058855292,5,3.51E-04,3.711926937,2,9606.ENSP00000352540,2.5,FALSE,9606.ENSP00000352540,P54851,,4.05E+22,0.236088017
