"SUID","@id","Betweenness","Closeness","Degree","Eigenvector","Information","LAC","name","Network","selected","shared name","stringdb::canonical name","stringdb::full name","Subgragh"
"203","stringdb:9606.ENSP00000164139","69.02322288335886","0.059964241507358","10.0","0.0027989493682980537","5.154873371124268","4.0","9606.ENSP00000164139","5.011904761904762","false","9606.ENSP00000164139","P11217",,"2.576076568908869E24"
"204","stringdb:9606.ENSP00000295600","320.82705427280655","0.061634153237206675","25.0","0.03393213078379631","7.053005218505859","14.64","9606.ENSP00000295600","15.577380952380953","false","9606.ENSP00000295600","Q9P2Y8",,"3.786089812557428E26"
"205","stringdb:9606.ENSP00000256797","0.7918744712085336","0.0598736610821203","3.0","0.0027404038701206446","2.8380539417266846","0.6666666666666666","9606.ENSP00000256797","1.0","false","9606.ENSP00000256797","Q76MJ5",,"2.46943622964913E24"
"206","stringdb:9606.ENSP00000349078","443.91134495858205","0.06091086895780944","19.0","0.0058839572593569756","6.524470329284668","7.578947368421052","9606.ENSP00000349078","9.099587912087912","false","9606.ENSP00000349078","P14324",,"1.138433547103506E25"
"207","stringdb:9606.ENSP00000329466","60.396858804283944","0.06178262717868783","24.0","0.02253551594913006","6.977636337280273","13.083333333333334","9606.ENSP00000329466","13.83118330944418","false","9606.ENSP00000329466","Q9NRC8",,"1.6699507213210338E26"
"208","stringdb:9606.ENSP00000372326","55.362587582765826","0.06120157215047726","12.0","0.008700132369995117","5.553427696228027","4.833333333333333","9606.ENSP00000372326","5.2727272727272725","false","9606.ENSP00000372326","P22830",,"2.48897421392695E25"
"209","stringdb:9606.ENSP00000233242","1473.862738713893","0.06258972150445019","59.0","0.04081440716981888","8.327202796936035","17.559322033898304","9606.ENSP00000233242","29.266229005254548","false","9606.ENSP00000233242","Q13787",,"5.4776673121630384E26"
"210","stringdb:9606.ENSP00000257770","1461.1227189195515","0.06178262717868783","36.0","0.034654486924409866","7.668633460998535","16.11111111111111","9606.ENSP00000257770","22.705170323424795","false","9606.ENSP00000257770","P21589",,"3.949004446453683E26"
"211","stringdb:9606.ENSP00000368079","0.0","0.058775950390940954","2.0","3.4856877755373716E-4","2.297236442565918","1.0","9606.ENSP00000368079","2.0","false","9606.ENSP00000368079","Q6ZWL3",,"3.995265276990269E22"
"212","stringdb:9606.ENSP00000320401","50.729876862944906","0.06076655052264809","19.0","0.004780601244419813","6.524470329284668","8.842105263157896","9606.ENSP00000320401","9.33333333333333","false","9606.ENSP00000320401","O75795",,"7.515081902410535E24"
"213","stringdb:9606.ENSP00000400895","0.0","0.002288329519450801","0.0","0.0","0.9099831581115723","0.0","9606.ENSP00000400895","0.0","false","9606.ENSP00000400895","Q3ZCN5",,"0.9999991655349731"
"214","stringdb:9606.ENSP00000256442","318.8492843444382","0.062321326472269865","56.0","0.06626783311367035","8.267088890075684","31.25","9606.ENSP00000256442","38.20269778623811","false","9606.ENSP00000256442","P14635",,"1.4440233747280486E27"
"215","stringdb:9606.ENSP00000319788","1151.9119226006676","0.06257175660160735","58.0","0.051424216479063034","8.307748794555664","23.517241379310345","9606.ENSP00000319788","30.927282433299666","false","9606.ENSP00000319788","P15559",,"8.695689640970581E26"
"216","stringdb:9606.ENSP00000354532","399.3167388773198","0.06058079755453661","18.0","0.004029203671962023","6.414834022521973","7.888888888888889","9606.ENSP00000354532","10.491895604395602","false","9606.ENSP00000354532","P00491",,"5.338350537272496E24"
"217","stringdb:9606.ENSP00000354652","0.16049400150807488","0.06014622706580218","5.0","0.005590192973613739","3.7119271755218506","3.6","9606.ENSP00000354652","4.5","false","9606.ENSP00000354652","P25929",,"1.0275957088758698E25"
